"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Create job via API and upload images to FTP /gotphoto/input/<job>/photos","chromium","Fri Nov 07 11:17:11 IST 2025","failed","Fri Nov 07 11:17:11 IST 2025","","api_create_and_upload.spec.js","",""
"","23938","Validate Traditional flow after generated link","chromium","Fri Nov 07 11:30:50 IST 2025","failed","Fri Nov 07 11:31:14 IST 2025","","Traditional_order.spec.js","",""
"","7776","Validate Traditional Plus flow after generated link","chromium","Fri Nov 07 11:31:19 IST 2025","failed","Fri Nov 07 11:31:27 IST 2025","","TraditionalPlus_MoveImages_order.spec.js","",""
"","20602","Validate Traditional Plus flow after generated link (Allure)","","Thu Nov 06 21:38:43 IST 2025","failed","Thu Nov 06 21:39:04 IST 2025","","tpreport.spec.js","",""
"","5597","Complete GotPhoto order placement + FTP upload","chromium","Fri Nov 07 11:30:24 IST 2025","failed","Fri Nov 07 11:30:30 IST 2025","","open_generated_link.spec.js","",""
"","587","Confirm images transferred after order placed","chromium","Fri Nov 07 11:30:23 IST 2025","passed","Fri Nov 07 11:30:24 IST 2025","","confirm_images_transferred_Input_to_Cam.spec.js","",""
"","21371","Create job via API and upload images to FTP /gotphoto/input/<job>/photos","webkit","Fri Nov 07 10:14:52 IST 2025","passed","Fri Nov 07 10:15:13 IST 2025","","api_create_and_upload.spec.js","",""
"","25861","Create job via API and upload images to FTP /gotphoto/input/<job>/photos","","Thu Nov 06 21:38:17 IST 2025","passed","Thu Nov 06 21:38:43 IST 2025","","api_create_and_upload.spec.js","",""
"","21422","Create job via API and upload images to FTP /gotphoto/input/<job>/photos","firefox","Fri Nov 07 10:14:12 IST 2025","passed","Fri Nov 07 10:14:33 IST 2025","","api_create_and_upload.spec.js","",""
"","4155","Validate Traditional Plus flow after generated link (Allure)","chromium","Fri Nov 07 11:30:34 IST 2025","failed","Fri Nov 07 11:30:38 IST 2025","","tpreport.spec.js","",""
"","14025","Validate Traditional Plus flow after generated link (Allure)","webkit","Fri Nov 07 10:15:13 IST 2025","failed","Fri Nov 07 10:15:27 IST 2025","","tpreport.spec.js","",""
"","6186","POST GotPhoto API → get generated link → open it in browser","chromium","Fri Nov 07 11:30:16 IST 2025","passed","Fri Nov 07 11:30:23 IST 2025","","api_post_and_order_GP.spec.js","",""
"","15130","Validate Traditional Plus flow after generated link (Allure)","","Thu Nov 06 17:32:35 IST 2025","failed","Thu Nov 06 17:32:50 IST 2025","","TraditionalPlus_MoveImages_order.spec.js","",""
"","10842","Validate Traditional Plus flow after generated link (Allure)","firefox","Fri Nov 07 10:14:33 IST 2025","failed","Fri Nov 07 10:14:44 IST 2025","","tpreport.spec.js","",""
